Question,Answer,English
Questions,Frage,
Wie Heißen Sie,Ich heiße abdullah,What is your name → Formal
Wie ist Ihr Name,Mein Name ist abdullah,What is your name → Informal
Woher Kommen Sie,Ich komme aus Pakistan,Where are you from
Wo Wohnen Sie,Ich Wohne in Islamabad,Where do you live
Was machen Sie,"Ich bin Student
Ich lerne Deutsch",What do you do?
Was lernen Sie,Ich lerne Deutsch,What are you learning
Was Studieren Sie,Ich studiere Deutsch,What are you studying
Wie alt sind Sie,Ich bin 25 Jahre alt,How old are you
Wie geht es Ihnen,Es geht mir gut,How are you
Wo liegt Deutschland,Deutschland liegt in Europa,Where does Germany lie
Wo liegt Pakistan,Pakistan liegt in Asien,Where does Pak lie
